Id,Date Posted,Product Title,Price,Area,Price per m²,calc price,Bedrooms,Toilets,Location,Coordinates
40303723,28/02/2025,"Chính chủ bán CH 130m2 (3N-2VS). Giá 7,7 tỷ. ĐC FLC 265 Cầu Giấy (Bamboo Airways Tower). Sẵn sổ",7.7,130.0,59.23,0.0,3,2,"Dịch Vọng, Cầu Giấy","21.0344982147217, 105.795516967773"
42297002,28/02/2025,Tôi chính chủ cần bán căn hộ chung cư FLC 265 Cầu Giấy,7.95,98.0,81.12,0.0,3,2,"Dịch Vọng, Cầu Giấy","21.0344468824663, 105.795380485785"
42274072,28/02/2025,"Chính chủ bán căn 3N Hà Đô Park View công viên CG, dt 127m, full nội thất, sẵn sổ, giá thật 8,2 tỷ",8.2,127.0,64.57,0.0,3,2,"Dịch Vọng, Cầu Giấy","21.02703568015485, 105.7937339071924"
42270966,28/02/2025,Bán căn Hà Đô park view (3n-2wc). Tầng trung hướng mât. View thành phố. Nt đẹp. Lh 0792 826 ***,8.8,127.0,69.29,0.0,3,2,"Dịch Vọng, Cầu Giấy","21.027118789558585, 105.79314865319573"
42300344,28/02/2025,BÁN CHUNG CƯ CAO CẤP 4 NGỦ 130M2 - LÔ GÓC - VỊ TRÍ TRUNG TÂM CẦU GIẤY- MẶT ĐƯỜNG THÀNH THÁI,8.98,130.0,69.08,0.0,4,2,"Dịch Vọng, Cầu Giấy","21.029030126411005, 105.79472654351031"
42298682,28/02/2025,"Bán căn hộ 150m2 tại Discovery Complex, Cầu Giấy 3 phòng ngủ LH 0911 120 ***",10.0,150.0,66.67,0.0,3,2,"Dịch Vọng, Cầu Giấy","21.034888295267287, 105.79499327691472"
39679970,28/02/2025,"Giá thật 10 tỷ. CH: 3N - 3VS. DT: 154m2. ĐC: The Park Home Thành Thái. Sẵn sổ, full nội thất",10.0,154.0,64.94,0.0,3,3,"Dịch Vọng, Cầu Giấy","21.0295677185059, 105.791877746582"
42291179,28/02/2025,"Bán căn hộ Duplex 172m2 tại Ha Do Park View, 13tỷ VND, 3PN, 3WC",13.0,172.0,75.58,0.0,3,3,"Dịch Vọng, Cầu Giấy","21.0280304484722, 105.79382328733"
39131923,28/02/2025,Bán căn Duplex 180m2 Hà Đô Park View 4PN view công viên Cầu Giấy giá 14 tỷ,14.0,180.0,77.78,0.0,4,3,"Dịch Vọng, Cầu Giấy","21.0274105072021, 105.793510437012"
42297827,28/02/2025,Bán căn chung cư Ruby 3 Phúc Lợi Long Biên. 2 ngủ 2 vs. Không gian thoáng mát 48 m2 x 2.25 tỷ,2.25,48.0,46.88,0.0,2,2,"Giang Biên, Long Biên","21.036042756465026, 105.93288056076169"
